Training 25M...
  5M
  10M
  15M
  20M
  25M
Trained.
Testing 50M with snapshots every 100K...
  10M
N,corr,z,corr_x_sqrtN
45100000,0.0000263107,0.1767,0.176693
45200000,0.0000268601,0.1806,0.180583
45300000,0.0000253702,0.1708,0.170755
45400000,0.0000216406,0.1458,0.145813
45500000,0.0000184847,0.1247,0.124686
45600000,0.0000304729,0.2058,0.205777
45700000,0.0000211960,0.1433,0.143289
45800000,0.0000124869,0.0845,0.084506
45900000,0.0000139895,0.0948,0.094778
46000000,0.0000238271,0.1616,0.161603
46100000,0.0000233219,0.1583,0.158349
46200000,0.0000261904,0.1780,0.178018
46300000,0.0000248868,0.1693,0.169340
46400000,0.0000333931,0.2275,0.227465
46500000,0.0000331095,0.2258,0.225777
46600000,0.0000229269,0.1565,0.156509
46700000,0.0000278193,0.1901,0.190110
46800000,0.0000306107,0.2094,0.209410
46900000,0.0000184493,0.1263,0.126347
47000000,0.0000221731,0.1520,0.152011
47100000,0.0000260635,0.1789,0.178872
47200000,0.0000242196,0.1664,0.166394
47300000,0.0000267119,0.1837,0.183711
47400000,0.0000296401,0.2041,0.204065
47500000,0.0000360615,0.2485,0.248537
47600000,0.0000250619,0.1729,0.172909
47700000,0.0000376165,0.2598,0.259799
47800000,0.0000366445,0.2534,0.253351
47900000,0.0000337090,0.2333,0.233299
48000000,0.0000373041,0.2585,0.258450
48100000,0.0000364259,0.2526,0.252629
48200000,0.0000399931,0.2777,0.277657
48300000,0.0000469367,0.3262,0.326202
48400000,0.0000495750,0.3449,0.344893
48500000,0.0000473738,0.3299,0.329920
48600000,0.0000506307,0.3530,0.352965
48700000,0.0000440794,0.3076,0.307610
48800000,0.0000402898,0.2815,0.281453
48900000,0.0000428813,0.2999,0.299862
49000000,0.0000390761,0.2735,0.273533
49100000,0.0000337499,0.2365,0.236490
49200000,0.0000387487,0.2718,0.271794
49300000,0.0000401520,0.2819,0.281923
49400000,0.0000428874,0.3014,0.301435
49500000,0.0000365974,0.2575,0.257485
49600000,0.0000364407,0.2566,0.256642
49700000,0.0000339292,0.2392,0.239195
49800000,0.0000313057,0.2209,0.220922
49900000,0.0000229124,0.1619,0.161853
50000000,0.0000132680,0.0938,0.093819
